diag_2,count,percentage
362,25,0.03
478,25,0.03
455,24,0.03
V63,24,0.03
516,23,0.03
537,23,0.03
E942,23,0.03
358,23,0.03
519,23,0.03
626,23,0.03
783,22,0.03
174,22,0.03
185,22,0.03
349,22,0.03
312,22,0.03
642,21,0.03
727,21,0.03
620,21,0.03
920,21,0.03
79,20,0.03
611,20,0.03
138,20,0.03
368,19,0.02
738,19,0.02
532,19,0.02
821,19,0.02
V65,19,0.02
420,19,0.02
250.93,18,0.02
432,18,0.02
283,18,0.02
583,18,0.02
252,18,0.02
151,18,0.02
860,18,0.02
726,18,0.02
274,17,0.02
V64,17,0.02
250.53,17,0.02
447,17,0.02
802,17,0.02
319,17,0.02
436,17,0.02
E884,17,0.02
616,17,0.02
555,16,0.02
924,16,0.02
680,16,0.02
E935,16,0.02
487,16,0.02
614,16,0.02
394,15,0.02
386,15,0.02
346,15,0.02
156,15,0.02
813,15,0.02
617,15,0.02
753,15,0.02
E947,15,0.02
200,15,0.02
601,15,0.02
431,14,0.02
94,14,0.02
566,14,0.02
736,14,0.02
421,14,0.02
201,13,0.02
E879,13,0.02
281,13,0.02
442,13,0.02
261,13,0.02
250.1,12,0.02
746,12,0.02
238,12,0.02
824,12,0.02
E880,12,0.02
423,12,0.02
359,12,0.02
556,12,0.02
696,12,0.02
716,12,0.02
314,12,0.02
607,11,0.01
E928,11,0.01
840,11,0.01
570,11,0.01
183,11,0.01
338,11,0.01
816,11,0.01
745,11,0.01
852,11,0.01
462,11,0.01
356,11,0.01
298,11,0.01
378,11,0.01
718,11,0.01
959,11,0.01
517,10,0.01
958,10,0.01
262,10,0.01
756,10,0.01
382,10,0.01
333,10,0.01
881,10,0.01
191,10,0.01
V72,9,0.01
152,9,0.01
V44,9,0.01
V46,9,0.01
279,9,0.01
233,9,0.01
485,9,0.01
792,9,0.01
533,9,0.01
317,9,0.01
188,9,0.01
823,9,0.01
307,9,0.01
706,9,0.01
693,9,0.01
250.2,9,0.01
V17,9,0.01
550,9,0.01
510,9,0.01
717,9,0.01
461,9,0.01
V09,9,0.01
627,9,0.01
40,9,0.01
E950,9,0.01
494,9,0.01
514,8,0.01
117,8,0.01
34,8,0.01
540,8,0.01
709,8,0.01
E939,8,0.01
335,8,0.01
54,8,0.01
251,8,0.01
324,8,0.01
565,8,0.01
241,8,0.01
621,8,0.01
220,8,0.01
260,8,0.01
923,8,0.01
354,8,0.01
825,7,0.01
E944,7,0.01
457,7,0.01
608,7,0.01
369,7,0.01
750,7,0.01
214,7,0.01
796,7,0.01
883,7,0.01
737,7,0.01
250.91,7,0.01
741,7,0.01
452,7,0.01
905,7,0.01
380,7,0.01
365,7,0.01
579,7,0.01
208,6,0.01
E936,6,0.01
882,6,0.01
586,6,0.01
701,6,0.01
E930,6,0.01
250.9,6,0.01
110,6,0.01
845,6,0.01
861,6,0.01
892,6,0.01
343,6,0.01
524,6,0.01
712,6,0.01
V57,6,0.01
867,6,0.01
299,6,0.01
273,6,0.01
758,6,0.01
759,5,0.01
266,5,0.01
865,5,0.01
172,5,0.01
E934,5,0.01
891,5,0.01
864,5,0.01
E812,5,0.01
694,5,0.01
909,5,0.01
922,5,0.01
199,5,0.01
322,5,0.01
847,5,0.01
E927,5,0.01
594,5,0.01
793,5,0.01
297,5,0.01
136,5,0.01
V66,5,0.01
619,5,0.01
836,5,0.01
480,4,0.01
868,4,0.01
430,4,0.01
372,4,0.01
250.33,4,0.01
E937,4,0.01
454,4,0.01
513,4,0.01
500,4,0.01
V02,4,0.01
323,4,0.01
258,4,0.01
V18,4,0.01
844,4,0.01
713,4,0.01
E858,4,0.01
801,4,0.01
227,4,0.01
791,4,0.01
598,4,0.01
806,4,0.01
907,4,0.01
336,4,0.01
685,4,0.01
684,4,0.01
969,4,0.01
646,4,0.01
698,4,0.01
225,4,0.01
31,4,0.01
V08,4,0.01
389,4,0.01
725,4,0.01
E917,4,0.01
810,4,0.01
V70,4,0.01
522,3,0.0
647,3,0.0
310,3,0.0
851,3,0.0
376,3,0.0
705,3,0.0
306,3,0.0
831,3,0.0
644,3,0.0
989,3,0.0
965,3,0.0
E905,3,0.0
351,3,0.0
11,3,0.0
742,3,0.0
945,3,0.0
588,3,0.0
245,3,0.0
815,3,0.0
919,3,0.0
972,3,0.0
250.23,3,0.0
603,3,0.0
320,3,0.0
V23,3,0.0
E870,3,0.0
9,3,0.0
623,3,0.0
355,3,0.0
934,3,0.0
484,3,0.0
405,3,0.0
528,3,0.0
910,3,0.0
747,3,0.0
373,3,0.0
686,3,0.0
E906,3,0.0
193,3,0.0
652,3,0.0
604,3,0.0
826,3,0.0
470,3,0.0
477,3,0.0
250.32,3,0.0
862,3,0.0
822,3,0.0
645,2,0.0
V14,2,0.0
360,2,0.0
916,2,0.0
366,2,0.0
E881,2,0.0
837,2,0.0
906,2,0.0
980,2,0.0
952,2,0.0
508,2,0.0
921,2,0.0
692,2,0.0
E887,2,0.0
V53,2,0.0
E931,2,0.0
250.21,2,0.0
V16,2,0.0
259,2,0.0
521,2,0.0
239,2,0.0
308,2,0.0
E941,2,0.0
659,2,0.0
381,2,0.0
E916,2,0.0
246,2,0.0
527,2,0.0
463,2,0.0
913,2,0.0
377,2,0.0
869,2,0.0
654,2,0.0
602,2,0.0
795,2,0.0
E853,2,0.0
141,2,0.0
27,2,0.0
V11,2,0.0
853,2,0.0
634,2,0.0
250.3,2,0.0
E933,2,0.0
448,2,0.0
870,2,0.0
663,2,0.0
872,2,0.0
464,2,0.0
495,2,0.0
215,2,0.0
395,2,0.0
379,2,0.0
691,2,0.0
842,2,0.0
472,2,0.0
75,2,0.0
501,2,0.0
755,2,0.0
341,2,0.0
656,2,0.0
751,2,0.0
78,2,0.0
992,2,0.0
967,2,0.0
E814,2,0.0
814,2,0.0
383,2,0.0
E819,2,0.0
542,2,0.0
217,2,0.0
911,2,0.0
918,2,0.0
649,2,0.0
664,2,0.0
422,2,0.0
140,1,0.0
908,1,0.0
894,1,0.0
670,1,0.0
E818,1,0.0
E929,1,0.0
232,1,0.0
115,1,0.0
270,1,0.0
523,1,0.0
164,1,0.0
316,1,0.0
E883,1,0.0
704,1,0.0
947,1,0.0
66,1,0.0
E826,1,0.0
96,1,0.0
942,1,0.0
E924,1,0.0
754,1,0.0
235,1,0.0
E816,1,0.0
E965,1,0.0
534,1,0.0
E882,1,0.0
674,1,0.0
641,1,0.0
665,1,0.0
977,1,0.0
991,1,0.0
E945,1,0.0
E919,1,0.0
E900,1,0.0
884,1,0.0
506,1,0.0
130,1,0.0
V60,1,0.0
V55,1,0.0
V50,1,0.0
843,1,0.0
E968,1,0.0
186,1,0.0
543,1,0.0
832,1,0.0
955,1,0.0
182,1,0.0
228,1,0.0
474,1,0.0
353,1,0.0
E918,1,0.0
347,1,0.0
893,1,0.0
99,1,0.0
E817,1,0.0
580,1,0.0
615,1,0.0
163,1,0.0
990,1,0.0
179,1,0.0
917,1,0.0
833,1,0.0
V61,1,0.0
866,1,0.0
131,1,0.0
E854,1,0.0
975,1,0.0
948,1,0.0
915,1,0.0
364,1,0.0
846,1,0.0
V86,1,0.0
318,1,0.0
E938,1,0.0
302,1,0.0
E915,1,0.0
145,1,0.0
734,1,0.0
E829,1,0.0
E868,1,0.0
800,1,0.0
933,1,0.0
879,1,0.0
610,1,0.0
483,1,0.0
123,1,0.0
350,1,0.0
797,1,0.0
240,1,0.0
271,1,0.0
388,1,0.0
E821,1,0.0
173,1,0.0
968,1,0.0
E813,1,0.0
192,1,0.0
V69,1,0.0
863,1,0.0
994,1,0.0
111,1,0.0
223,1,0.0
529,1,0.0
460,1,0.0
622,1,0.0
137,1,0.0
171,1,0.0
352,1,0.0
963,1,0.0
962,1,0.0
703,1,0.0
E850,1,0.0
256,1,0.0
880,1,0.0
180,1,0.0
268,1,0.0
269,1,0.0
374,1,0.0
520,1,0.0
