diag_1,count,percentage
480,17,0.02
380,17,0.02
357,17,0.02
281,17,0.02
242,16,0.02
156,16,0.02
355,16,0.02
289,16,0.02
,16,0.02
825,16,0.02
656,16,0.02
250.43,16,0.02
591,15,0.02
312,15,0.02
252,15,0.02
250.33,15,0.02
250.93,15,0.02
446,15,0.02
972,15,0.02
614,14,0.02
873,14,0.02
627,14,0.02
958,14,0.02
617,14,0.02
601,14,0.02
513,14,0.02
967,13,0.02
200,13,0.02
652,13,0.02
3,13,0.02
581,13,0.02
461,13,0.02
533,13,0.02
718,13,0.02
152,12,0.02
251,12,0.02
736,12,0.02
725,12,0.02
594,12,0.02
861,12,0.02
199,12,0.02
226,12,0.02
867,11,0.01
394,11,0.01
358,11,0.01
378,11,0.01
350,11,0.01
250.31,11,0.01
680,11,0.01
376,11,0.01
250.32,11,0.01
475,11,0.01
840,11,0.01
933,11,0.01
54,10,0.01
35,10,0.01
847,10,0.01
853,10,0.01
297,10,0.01
201,10,0.01
158,10,0.01
457,10,0.01
184,10,0.01
989,10,0.01
V56,10,0.01
966,10,0.01
660,10,0.01
171,10,0.01
756,10,0.01
843,10,0.01
521,9,0.01
705,9,0.01
11,9,0.01
945,9,0.01
368,9,0.01
695,9,0.01
V71,9,0.01
935,8,0.01
952,8,0.01
454,8,0.01
541,8,0.01
354,8,0.01
250.21,8,0.01
244,8,0.01
306,8,0.01
462,8,0.01
337,8,0.01
565,8,0.01
528,8,0.01
161,8,0.01
992,8,0.01
882,8,0.01
78,8,0.01
223,7,0.01
892,7,0.01
686,7,0.01
831,7,0.01
359,7,0.01
41,7,0.01
845,7,0.01
195,7,0.01
88,7,0.01
977,7,0.01
210,7,0.01
646,7,0.01
964,7,0.01
816,7,0.01
746,7,0.01
323,7,0.01
891,7,0.01
864,7,0.01
445,6,0.01
991,6,0.01
708,6,0.01
383,6,0.01
342,6,0.01
745,6,0.01
320,6,0.01
579,6,0.01
747,6,0.01
362,6,0.01
250.5,6,0.01
163,6,0.01
94,6,0.01
230,6,0.01
212,6,0.01
310,6,0.01
717,6,0.01
526,6,0.01
5,6,0.01
685,6,0.01
551,6,0.01
141,6,0.01
335,6,0.01
970,6,0.01
353,6,0.01
344,6,0.01
250.9,6,0.01
815,6,0.01
263,6,0.01
865,6,0.01
117,5,0.01
379,5,0.01
464,5,0.01
796,5,0.01
835,5,0.01
66,5,0.01
619,5,0.01
452,5,0.01
341,5,0.01
V45,5,0.01
934,5,0.01
810,5,0.01
792,5,0.01
883,5,0.01
388,5,0.01
737,5,0.01
890,5,0.01
136,5,0.01
397,5,0.01
82,5,0.01
968,5,0.01
34,5,0.01
570,5,0.01
647,5,0.01
694,5,0.01
588,5,0.01
272,4,0.01
250.52,4,0.01
470,4,0.01
663,4,0.01
483,4,0.01
508,4,0.01
923,4,0.01
215,4,0.01
641,4,0.01
179,4,0.01
814,4,0.01
361,4,0.01
180,4,0.01
214,4,0.01
356,4,0.01
696,4,0.01
983,4,0.01
806,4,0.01
495,4,0.01
751,4,0.01
942,4,0.01
800,4,0.01
49,4,0.01
886,4,0.01
192,4,0.01
633,4,0.01
V63,4,0.01
734,4,0.01
324,4,0.01
753,4,0.01
643,4,0.01
301,4,0.01
273,4,0.01
463,4,0.01
759,4,0.01
854,3,0.0
501,3,0.0
863,3,0.0
709,3,0.0
622,3,0.0
173,3,0.0
632,3,0.0
598,3,0.0
793,3,0.0
879,3,0.0
836,3,0.0
208,3,0.0
370,3,0.0
236,3,0.0
583,3,0.0
720,3,0.0
881,3,0.0
674,3,0.0
866,3,0.0
377,3,0.0
917,3,0.0
261,3,0.0
142,3,0.0
928,3,0.0
308,3,0.0
921,3,0.0
846,3,0.0
271,3,0.0
382,3,0.0
971,3,0.0
237,3,0.0
529,3,0.0
692,3,0.0
474,3,0.0
826,3,0.0
175,3,0.0
524,3,0.0
936,3,0.0
623,3,0.0
262,3,0.0
871,2,0.0
703,2,0.0
669,2,0.0
229,2,0.0
944,2,0.0
146,2,0.0
7,2,0.0
706,2,0.0
893,2,0.0
980,2,0.0
657,2,0.0
542,2,0.0
31,2,0.0
868,2,0.0
904,2,0.0
27,2,0.0
115,2,0.0
878,2,0.0
58,2,0.0
374,2,0.0
172,2,0.0
963,2,0.0
266,2,0.0
987,2,0.0
246,2,0.0
610,2,0.0
39,2,0.0
875,2,0.0
506,2,0.0
187,2,0.0
245,2,0.0
941,2,0.0
975,2,0.0
147,2,0.0
645,2,0.0
250.91,2,0.0
384,2,0.0
131,2,0.0
973,2,0.0
797,2,0.0
603,2,0.0
500,2,0.0
422,2,0.0
149,2,0.0
602,2,0.0
V26,2,0.0
352,2,0.0
913,2,0.0
322,2,0.0
336,2,0.0
369,2,0.0
250.53,2,0.0
795,2,0.0
395,2,0.0
665,2,0.0
731,2,0.0
916,2,0.0
164,2,0.0
170,2,0.0
955,1,0.0
389,1,0.0
228,1,0.0
837,1,0.0
634,1,0.0
145,1,0.0
838,1,0.0
914,1,0.0
833,1,0.0
880,1,0.0
477,1,0.0
217,1,0.0
637,1,0.0
986,1,0.0
417,1,0.0
523,1,0.0
895,1,0.0
57,1,0.0
405,1,0.0
391,1,0.0
52,1,0.0
897,1,0.0
684,1,0.0
381,1,0.0
976,1,0.0
842,1,0.0
V70,1,0.0
915,1,0.0
V67,1,0.0
448,1,0.0
700,1,0.0
885,1,0.0
23,1,0.0
832,1,0.0
375,1,0.0
160,1,0.0
704,1,0.0
640,1,0.0
803,1,0.0
683,1,0.0
133,1,0.0
862,1,0.0
919,1,0.0
691,1,0.0
194,1,0.0
360,1,0.0
655,1,0.0
V51,1,0.0
V66,1,0.0
385,1,0.0
148,1,0.0
207,1,0.0
732,1,0.0
143,1,0.0
240,1,0.0
V25,1,0.0
698,1,0.0
988,1,0.0
48,1,0.0
412,1,0.0
791,1,0.0
110,1,0.0
543,1,0.0
615,1,0.0
804,1,0.0
373,1,0.0
957,1,0.0
V07,1,0.0
98,1,0.0
671,1,0.0
216,1,0.0
75,1,0.0
314,1,0.0
848,1,0.0
605,1,0.0
982,1,0.0
994,1,0.0
834,1,0.0
903,1,0.0
653,1,0.0
990,1,0.0
911,1,0.0
365,1,0.0
735,1,0.0
839,1,0.0
827,1,0.0
10,1,0.0
61,1,0.0
V60,1,0.0
690,1,0.0
817,1,0.0
